year,state,inventory_colonies,loss_pct,stressor_disease_pct,stressor_other_pct,stressor_pesticides_pct,stressor_pests_pct,stressor_unknown_pct,stressor_varroa_mites_pct,annual_avg_temp,annual_total_precip,annual_avg_ndvi,annual_total_sightings
2016,SOUTH DAKOTA,280000.0,10.0,4.05,5.375,8.45,7.8500000000000005,0.8749999999999999,32.575,48.35,20.68,-0.011584160627796257,23.0
2016,TENNESSEE,6000.0,11.25,0.4,6.9,1.9,18.625,4.65,25.75,60.300000000000004,47.04,-0.029489048308519148,
2016,TEXAS,133000.0,10.0,3.675,4.4,11.7,11.925,2.925,31.450000000000003,67.14999999999999,32.1,-0.10818683169223088,1414.0
2016,UTAH,31000.0,11.75,0.675,2.05,7.6,6.8500000000000005,0.825,26.924999999999997,50.23333333333334,14.04,-0.25640339932985295,722.0
2016,VERMONT,6000.0,4.25,10.825000000000001,0.8999999999999999,10.25,12.35,0.65,13.5,44.65,38.62,-0.1644810669739696,492.0
2016,VIRGINIA,5000.0,10.25,2.475,4.85,2.175,13.875,3.8499999999999996,31.575000000000003,57.11666666666667,45.41,-0.16312838568659063,4.0
2016,WASHINGTON,84000.0,7.25,2.3,5.449999999999999,8.25,6.975,1.525,37.7,48.574999999999996,49.14,-0.16375107269582292,7.0
2016,WEST VIRGINIA,5000.0,12.75,2.5,8.5,0.45,3.275,2.6,26.825,54.14166666666667,45.36,0.00038353124923085,1.0
2016,WISCONSIN,54000.0,12.75,8.675,10.35,13.1,7.775,19.55,37.099999999999994,46.19166666666666,39.39,-0.08125635819262332,1.0
2016,WYOMING,40000.0,10.25,1.25,1.9500000000000002,2.725,1.925,0.6,19.475,43.90833333333333,17.28,-0.009871677115256416,1.0
2017,ALABAMA,7000.0,13.0,2.25,6.325,13.075,13.9,5.925000000000001,32.4,65.03333333333333,64.19,-0.03876438664350713,286.0
2017,ARIZONA,22000.0,17.25,6.574999999999999,10.85,4.2,5.625,2.3000000000000003,43.85,63.03333333333333,9.47,-0.003382013548867075,227.0
2017,ARKANSAS,29000.0,19.25,7.15,9.775,13.1,15.625,1.55,37.45,62.541666666666664,50.26,-0.024824871469107817,2.0
2017,CALIFORNIA,335000.0,11.25,5.9,9.65,13.15,12.55,4.9,41.475,60.34166666666667,28.17,-0.08798114448949264,94.0
2017,COLORADO,33000.0,12.75,2.6999999999999997,7.625,8.3,0.9666666666666667,1.7999999999999998,32.85,47.925000000000004,18.91,-0.00024383552458964166,1070.0
2017,FLORIDA,205000.0,17.0,4.7,7.925000000000001,9.975,14.8,21.125,39.6,72.84166666666667,58.63,-0.6254818159263444,20.0
2017,GEORGIA,99000.0,11.75,3.95,7.4,9.65,11.475,4.025,43.45,65.825,49.8,-0.054795678219680594,7.0
2017,HAWAII,19000.0,2.5,0.19999999999999998,0.65,0.0,19.049999999999997,0.03333333333333333,37.525000000000006,29.325,38.06,,
2017,IDAHO,95000.0,9.25,17.674999999999997,5.175,14.975,21.174999999999997,2.625,48.1,44.25833333333333,28.83,-0.014250197031344142,110.0
2017,ILLINOIS,11000.0,14.25,1.2,6.25,4.35,10.45,4.425,22.825,54.39166666666667,37.8,-0.011184341441426384,326.0
2017,INDIANA,8000.0,14.5,1.85,6.675,13.0,5.4,4.575,14.675,53.975,45.61,-0.006050492592660675,
2017,IOWA,35000.0,12.0,7.65,10.475,18.775,17.15,5.075,37.775,50.0,32.35,-0.002110645446866525,12.0
2017,KANSAS,7000.0,17.5,4.7,4.949999999999999,13.775,17.95,9.575,36.95,56.5,29.03,-0.004325949000411892,1.0
2017,KENTUCKY,5000.0,15.25,1.625,9.05,3.8499999999999996,21.675,9.425,39.575,57.81666666666666,50.26,-0.012414968912115859,184.0
2017,LOUISIANA,43000.0,9.0,0.175,2.975,1.4000000000000001,28.450000000000003,6.95,34.925,68.71666666666667,64.06,-0.5136976594946427,
2017,MAINE,12000.0,10.75,8.975,7.525,4.075,8.075,3.725,14.149999999999999,42.36666666666667,45.32,-0.3725447042331837,
2017,MICHIGAN,87000.0,11.25,3.5249999999999995,4.625,10.325,8.25,2.325,34.4,46.291666666666664,39.269999999999996,-0.3067752293686172,393.0
2017,MINNESOTA,126000.0,10.0,2.1,8.6,15.725,3.45,3.35,31.325,42.63333333333333,28.3,-0.15071724834983494,1955.0
2017,MISSISSIPPI,18000.0,8.75,0.6999999999999998,5.95,0.875,11.774999999999999,1.75,36.525,65.77499999999999,58.93,-0.012312672090082367,31.0
2017,MISSOURI,8000.0,8.75,1.825,4.075,9.450000000000001,18.625,10.925,31.1,57.15,41.45,-0.02191719340976626,45.0
2017,MONTANA,145000.0,6.5,3.5500000000000003,8.7,3.5250000000000004,7.475,1.7,37.625,43.175000000000004,17.43,-0.01564408166294416,
2017,NEBRASKA,42000.0,8.75,1.4749999999999999,7.8999999999999995,11.700000000000001,12.149999999999999,3.425,26.65,50.666666666666664,25.34,0.00025302064123809166,390.0
2017,NEW JERSEY,13000.0,5.25,1.75,1.2,1.8,4.0,0.825,16.825,54.59166666666667,44.919999999999995,-0.29624482474701547,
2017,NEW YORK,57000.0,10.0,6.525,9.025,5.300000000000001,11.0,3.825,27.5,46.925000000000004,47.379999999999995,-0.17231849271921665,1.0
2017,NORTH CAROLINA,11000.0,14.25,2.425,7.8999999999999995,6.025,18.825,3.475,49.2,61.0,47.96,-0.5560993083662956,23.0
2017,NORTH DAKOTA,455000.0,5.25,1.7,3.1,3.475,8.1,0.85,28.450000000000003,42.00833333333333,12.99,-0.03114934104286414,
2017,OHIO,15000.0,13.75,4.65,10.475,5.9,15.100000000000001,7.35,42.025,53.225,45.5,-0.03304486909370826,8.0
2017,OREGON,78000.0,9.5,14.55,10.375,10.0,13.25,5.8500000000000005,42.725,48.03333333333333,36.22,-0.04487061926260342,98.0
2017,PENNSYLVANIA,16000.0,14.0,1.3,2.775,3.75,3.625,2.975,30.125,50.60833333333333,46.61,-0.005715079413314034,9381.0
2017,SOUTH CAROLINA,16000.0,9.5,7.574999999999999,3.475,5.7,14.55,1.225,23.725,65.06666666666666,46.57,-0.14245709275793647,26.0
2017,SOUTH DAKOTA,255000.0,7.5,2.525,9.925,5.225,3.725,2.275,19.075,46.76666666666667,17.63,-0.011591053718759925,
2017,TENNESSEE,7000.0,15.5,1.05,7.875,3.375,19.775,8.275,36.9,59.96666666666667,56.22,-0.029492552421653398,2.0
2017,TEXAS,120000.0,10.5,2.675,7.1000000000000005,11.1,20.925,2.925,33.125,67.31666666666666,30.28,-0.10819653323191868,67.0
2017,UTAH,27000.0,12.25,2.975,9.975,6.5,2.575,7.300000000000001,35.050000000000004,50.725,12.83,-0.25639927616720354,581.0
2017,VERMONT,7000.0,4.5,7.300000000000001,3.45,18.46666666666667,13.625,1.3,30.674999999999997,43.800000000000004,46.3,-0.16451219337490958,626.0
2017,VIRGINIA,6000.0,12.75,1.625,5.125,4.05,19.475,4.675000000000001,27.824999999999996,57.30833333333334,41.56,-0.16312639640677182,108.0
2017,WASHINGTON,77000.0,9.75,2.066666666666667,3.175,2.25,3.45,1.85,18.375,46.81666666666666,48.73,-0.16375614315606615,1.0
2017,WEST VIRGINIA,6000.0,9.75,1.45,8.225,0.275,3.525,2.575,27.675,54.00833333333333,47.01,0.00038732114615730836,5.0
2017,WISCONSIN,53000.0,14.5,13.600000000000001,8.875,12.2,15.375,9.525,36.875,44.71666666666667,37.57,-0.08125888954267667,
2017,WYOMING,39000.0,13.0,7.625,5.0,3.2750000000000004,1.875,2.566666666666667,23.525,43.19166666666667,18.66,-0.009870374195276374,2.0
2018,ALABAMA,6000.0,13.0,1.3,7.3,11.35,36.85,5.225,38.125,64.45,64.4,-0.03876205142527746,99.0
2018,ARIZONA,24000.0,20.25,11.25,11.075,6.633333333333334,5.525,9.725000000000001,45.8,62.26666666666667,11.67,-0.003387984013188333,282.0
2018,ARKANSAS,28000.0,18.5,0.45,6.85,29.075,9.325,7.475,41.175,61.166666666666664,64.32,-0.024830481999354257,
2018,CALIFORNIA,335000.0,11.75,7.55,9.575,13.65,11.175,5.15,46.05,60.125,18.09,-0.08798559396488768,190.0
2018,COLORADO,31000.0,15.0,5.7749999999999995,8.125,2.3333333333333335,7.766666666666668,2.15,54.8,47.166666666666664,14.959999999999999,-0.0002543868298239917,3183.0
2018,FLORIDA,215000.0,16.0,6.825,9.475,11.6,21.425,13.4,39.675,72.275,60.52,-0.6254874371595387,4.0
2018,GEORGIA,98000.0,13.75,6.575,17.525,16.05,20.599999999999998,6.8,45.95,65.08333333333333,60.8,-0.05479535492213545,
2018,HAWAII,17000.0,7.0,0.20000000000000004,0.275,0.025,87.275,0.06666666666666667,82.525,30.416666666666668,37.9,,
2018,IDAHO,96000.0,10.75,7.0,7.075,16.075,15.55,3.75,57.1,44.525000000000006,21.88,-0.014244195984564667,13.0
2018,ILLINOIS,11000.0,15.75,3.7,7.175000000000001,4.5,10.675,6.5,21.95,52.475,45.79,-0.011191621345239017,35.0
2018,INDIANA,7000.0,19.5,7.15,12.9,22.549999999999997,11.325,1.9,48.05,52.59166666666667,50.03,-0.0060568172892500665,
2018,IOWA,38000.0,10.0,4.65,10.075,10.125,11.85,1.9249999999999998,25.75,47.49166666666667,45.08,-0.002120443775795558,51.0
2018,KANSAS,5000.0,17.0,8.725,13.825,20.225,33.575,11.25,61.15,54.6,31.85,-0.004332756200935717,280.0
2018,KENTUCKY,4000.0,19.5,1.075,5.525,5.075,29.55,5.925,47.025,56.958333333333336,63.74,-0.012424758790048182,8.0
2018,LOUISIANA,45000.0,4.75,0.225,1.925,2.2750000000000004,10.8,1.55,15.225000000000001,67.77499999999999,66.39,-0.5137025049733012,
2018,MAINE,12000.0,13.5,0.5,2.6,0.325,1.875,2.6666666666666665,17.825,41.766666666666666,46.45,-0.3725441354608381,
2018,MICHIGAN,97000.0,11.75,7.050000000000001,11.65,14.5,16.775,10.225000000000001,60.300000000000004,45.10833333333333,36.17,-0.30677912214910724,442.0
2018,MINNESOTA,119000.0,12.25,4.825,5.55,10.725,6.9,8.2,21.95,40.59166666666667,30.08,-0.15073482884694714,1062.0
2018,MISSISSIPPI,20000.0,9.75,0.1,4.1,0.44999999999999996,11.575,12.075000000000001,25.825,64.77499999999999,66.81,-0.01231558836424776,7.0
2018,MISSOURI,9000.0,9.5,0.8500000000000001,11.05,2.125,29.475,7.925,38.25,55.199999999999996,43.0,-0.0219310001452817,8.0
2018,MONTANA,160000.0,6.666666666666667,8.966666666666667,6.425,13.025,12.066666666666668,1.3333333333333333,39.075,41.275,19.98,-0.015643759055794248,4.0
2018,NEBRASKA,40000.0,7.75,2.0,4.475,3.45,1.725,2.85,9.15,48.25833333333333,29.22,0.000249152005144775,
2018,NEW JERSEY,13000.0,5.75,0.10000000000000002,3.4,0.15,3.375,0.4,14.425,54.175000000000004,64.76,-0.29625545053394886,
2018,NEW YORK,56000.0,8.75,10.7,13.85,8.825,14.25,5.1499999999999995,32.900000000000006,46.19166666666666,48.59,-0.17232967910690042,340.0
2018,NORTH CAROLINA,10000.0,16.5,4.0,12.625,3.275,10.274999999999999,4.275,39.6,60.43333333333333,68.35,-0.5561048364532548,3.0
2018,NORTH DAKOTA,550000.0,6.75,5.925,5.225,6.425,7.225,2.525,29.575,39.791666666666664,17.77,-0.031156861177035502,
2018,OHIO,14000.0,16.5,2.725,12.925,3.825,21.849999999999998,6.05,41.65,52.19166666666666,50.93,-0.033049372069154016,5.0
2018,OREGON,93000.0,8.0,8.075,7.725,18.3,2.9,0.55,45.85,48.44166666666666,25.41,-0.04486816297498114,3502.0
2018,PENNSYLVANIA,19000.0,12.75,3.525,4.25,6.475,10.1,4.95,29.025,49.75833333333333,64.04,-0.005732950482358458,5869.0
2018,SOUTH CAROLINA,16000.0,11.25,0.6,8.1,9.5,22.125,3.1,38.125,64.25,57.300000000000004,-0.1424629250992063,640.0
2018,SOUTH DAKOTA,255000.0,9.25,5.866666666666667,21.275,4.633333333333334,18.675,1.4000000000000001,31.75,44.13333333333333,23.25,-0.0115940682699387,
2018,TENNESSEE,7000.0,20.25,1.9749999999999999,8.524999999999999,7.75,29.325,7.35,44.9,59.074999999999996,67.14,-0.029495300905799673,
2018,TEXAS,132000.0,9.0,4.7,4.8,3.475,12.675,7.375,21.35,66.0,33.72,-0.1082107358959155,49.0
2018,UTAH,26000.0,9.75,1.925,2.25,2.475,7.25,2.0,36.05,50.4,11.58,-0.25640448519474984,957.0
2018,VERMONT,7000.0,6.75,1.325,1.225,10.350000000000001,2.225,0.4,18.575,43.21666666666667,47.07,-0.16450942307257768,137.0
2018,VIRGINIA,4000.0,15.5,4.55,12.05,6.5,24.25,5.575,36.2,56.56666666666666,63.53,-0.1631332977633498,61.0
2018,WASHINGTON,77000.0,9.75,5.225,5.175,4.275,2.85,1.275,26.5,48.050000000000004,41.32,-0.1637477754007264,2.0
2018,WEST VIRGINIA,6000.0,15.25,0.95,11.350000000000001,3.45,20.825,5.425000000000001,28.825,53.300000000000004,65.1,0.00037696789706894167,2.0
2018,WISCONSIN,51000.0,15.0,5.9,11.7,18.15,20.4,3.5,32.625,43.208333333333336,39.74,-0.08127295700564105,2.0
2018,WYOMING,39000.0,7.25,1.75,2.225,4.475,2.775,2.5,22.424999999999997,42.40833333333333,16.12,-0.009871912637233733,7.0
2019,ALABAMA,7000.0,12.333333333333334,1.7666666666666666,7.266666666666666,1.8,24.666666666666668,8.9,34.833333333333336,65.375,56.3,-0.038756874387855,32.0
2019,ARIZONA,23000.0,12.333333333333334,3.1999999999999997,8.533333333333333,16.966666666666665,6.433333333333334,1.2333333333333334,36.233333333333334,60.25833333333333,14.69,-0.0033799216116177084,589.0
2019,ARKANSAS,20000.0,13.666666666666666,3.8333333333333335,6.7,37.86666666666667,20.3,25.0,40.13333333333333,61.21666666666667,65.65,-0.02482594814324275,
2019,CALIFORNIA,335000.0,12.666666666666666,6.766666666666667,9.266666666666666,13.200000000000001,11.933333333333332,4.6000000000000005,44.333333333333336,58.40833333333333,29.12,-0.08798149382467185,810.0
2019,COLORADO,32000.0,20.0,1.5999999999999999,4.833333333333333,8.5,4.766666666666667,0.8000000000000002,52.9,45.26666666666666,18.91,-0.0002573817357761833,227.0
2019,FLORIDA,205000.0,11.0,6.533333333333334,8.966666666666667,17.599999999999998,23.7,7.033333333333334,45.1,73.18333333333334,52.1,-0.6254806951205377,12.0
2019,GEORGIA,102000.0,12.333333333333334,4.866666666666666,10.100000000000001,14.833333333333334,18.2,4.633333333333334,52.133333333333326,66.21666666666667,47.89,-0.054787959232529854,24.0
2019,HAWAII,16000.0,3.6666666666666665,0.19999999999999998,1.4333333333333333,0.5666666666666667,55.23333333333333,0.06666666666666667,51.1,32.19166666666667,38.0,,
2019,IDAHO,92000.0,8.666666666666666,11.700000000000001,12.333333333333334,9.866666666666667,9.233333333333333,0.9500000000000001,34.9,42.98333333333333,23.41,-0.014252734570093817,26.0
2019,ILLINOIS,11000.0,15.333333333333334,1.6333333333333335,9.966666666666667,2.1999999999999997,16.766666666666666,10.166666666666666,32.699999999999996,52.1,49.86,-0.011197374240513659,17.0
2019,INDIANA,9000.0,8.333333333333334,2.733333333333333,9.3,11.766666666666667,13.0,1.2333333333333332,30.666666666666668,52.4,49.519999999999996,-0.006064044568592017,53.0
